application-positionExternalId,application-candidateExternalId,application-Stage
"46774","63061","FIRST_INTERVIEW"
"46785","43914","SHORTLISTED"
"46892","43721","SHORTLISTED"
"46892","43749","SHORTLISTED"
"46892","47366","SHORTLISTED"
"46977","48257","SENT"
"47148","47080","SENT"
"47169","46899","FIRST_INTERVIEW"
"47169","47210","FIRST_INTERVIEW"
"47220","41820","SHORTLISTED"
"47220","48581","SHORTLISTED"
"47220","49069","SHORTLISTED"
"47220","49730","SHORTLISTED"
"47220","60980","FIRST_INTERVIEW"
"47220","64044","SHORTLISTED"
"47220","71313","SHORTLISTED"
"47220","72089","SHORTLISTED"
"47228","62775","SHORTLISTED"
"47259","47210","SHORTLISTED"
"47259","50035","SHORTLISTED"
"47499","47501","SENT"
"47656","42516","SHORTLISTED"
"47656","43628","SHORTLISTED"
"47656","44586","SHORTLISTED"
"47656","45241","SHORTLISTED"
"47656","45268","SHORTLISTED"
"47656","47987","SHORTLISTED"
"47656","48013","SHORTLISTED"
"47656","51993","SHORTLISTED"
"47656","57652","SHORTLISTED"
"47656","62304","SHORTLISTED"
"47656","68801","SHORTLISTED"
"47656","72193","SHORTLISTED"
"47656","72511","SHORTLISTED"
"47656","72526","SHORTLISTED"
"47656","74494","SHORTLISTED"
"47656","84832","SHORTLISTED"
"47656","85466","SHORTLISTED"
"47656","85479","SHORTLISTED"
"47656","85485","SHORTLISTED"
"47656","86251","SHORTLISTED"
"47656","86274","SHORTLISTED"
"47657","69071","SHORTLISTED"
"47694","38075","FIRST_INTERVIEW"
"47694","41663","FIRST_INTERVIEW"
"47745","47661","SENT"
"47752","43914","SENT"
"47752","47750","SENT"
"47752","48002","SENT"
"47857","47969","OFFERED"
"47857","48002","SHORTLISTED"
"47857","48081","SENT"
"47857","48667","SENT"
"47857","63895","FIRST_INTERVIEW"
"47927","48114","SENT"
"47927","48681","SENT"
"47990","47991","FIRST_INTERVIEW"
"47990","62828","OFFERED"
"48048","40324","FIRST_INTERVIEW"
"48048","40498","SENT"
"48048","44586","SENT"
"48048","46625","SENT"
"48072","43628","SENT"
"48072","47969","SHORTLISTED"
"48072","48002","SHORTLISTED"
"48072","48009","SHORTLISTED"
"48072","48081","SHORTLISTED"
"48072","57405","SENT"
"48281","41854","SHORTLISTED"
"48327","46625","SENT"
"48457","48081","SENT"
"48467","48817","SENT"
"48467","49730","SENT"
"48572","49154","SHORTLISTED"
"48589","44306","SHORTLISTED"
"48602","48494","SHORTLISTED"
"48602","62072","SHORTLISTED"
"48602","64400","SHORTLISTED"
