application-positionExternalId,application-candidateExternalId,application-Stage,actioned_date
"43308","41895","SHORTLISTED","2008-06-17"
"43308","43304","SHORTLISTED","2008-06-16"
"43422","43403","SENT","2008-07-14"
"43422","45233","SHORTLISTED","2008-07-08"
"43422","49645","SENT","2008-07-09"
"43422","56552","SENT","2008-07-22"
"43422","60039","SENT","2008-08-11"
"43422","60983","SENT","2008-08-18"
"43516","38075","SHORTLISTED","2008-06-24"
"43516","39526","SENT","2008-11-19"
"43516","39657","SENT","2008-11-19"
"43516","41660","SHORTLISTED","2009-12-29"
"43516","93632","SENT","2010-03-29"
"43529","43445","SENT","2008-06-17"
"43529","43587","SENT","2008-06-16"
"43529","49125","SENT","2008-07-25"
"43558","41737","SENT","2008-06-17"
"43558","41894","FIRST_INTERVIEW","2008-06-18"
"43558","42516","SENT","2008-06-19"
"43558","43059","SENT","2008-06-16"
"43558","43628","SENT","2008-06-17"
"43558","43678","SENT","2008-06-17"
"43558","43697","SENT","2008-06-17"
"43558","43721","SENT","2008-06-26"
"43558","44586","SENT","2008-06-19"
"43558","44611","OFFERED","2008-06-23"
"43558","45241","SENT","2008-06-23"
"43558","45268","SENT","2008-06-24"
"43558","46616","SENT","2008-06-24"
"43558","46899","SENT","2008-06-25"
"43600","58046","SENT","2008-07-29"
"43606","43724","SHORTLISTED","2008-06-17"
"43606","48952","FIRST_INTERVIEW","2008-08-12"
"43635","41654","SHORTLISTED","2008-06-17"
"43635","43059","SHORTLISTED","2008-06-17"
"43635","43628","SHORTLISTED","2008-06-17"
"43635","44440","SHORTLISTED","2008-06-19"
"43675","43628","SHORTLISTED","2008-06-17"
"43682","43062","OFFERED","2008-06-18"
"43746","41737","SHORTLISTED","2008-06-17"
"43746","44586","SHORTLISTED","2008-06-19"
"43778","42509","SHORTLISTED","2008-06-23"
"43778","42514","FIRST_INTERVIEW","2008-07-07"
"43778","43666","SHORTLISTED","2008-06-18"
"43778","43786","SHORTLISTED","2008-06-23"
"43779","40324","SHORTLISTED","2008-06-27"
"44455","40324","SENT","2008-06-27"
"44455","43749","SHORTLISTED","2008-06-25"
"45244","42458","SHORTLISTED","2008-06-23"
"45244","42514","SHORTLISTED","2008-06-23"
"46533","45268","SHORTLISTED","2008-06-23"
"46582","43811","SHORTLISTED","2008-07-21"
"46582","46595","SHORTLISTED","2008-06-24"
"46582","51116","SHORTLISTED","2008-08-13"
"46609","44543","SHORTLISTED","2008-06-24"
"46609","46600","SHORTLISTED","2008-06-24"
"46609","63910","FIRST_INTERVIEW","2008-10-31"
"46774","44371","SHORTLISTED","2008-06-26"
"46774","60407","SHORTLISTED","2008-08-21"
"46774","62072","SHORTLISTED","2008-08-28"
"46774","62428","SHORTLISTED","2008-08-28"
"46774","63061","FIRST_INTERVIEW","2008-09-04"
"46785","43914","SHORTLISTED","2008-06-30"
"46892","43721","SHORTLISTED","2008-06-26"
"46892","43749","SHORTLISTED","2008-06-25"
"46892","47366","SHORTLISTED","2008-06-27"
"46977","48257","SENT","2008-07-01"
"47148","47080","SENT","2008-06-25"
"47169","46899","FIRST_INTERVIEW","2008-07-04"
"47169","47210","FIRST_INTERVIEW","2008-07-08"
"47220","41820","SHORTLISTED","2008-07-08"
"47220","48581","SHORTLISTED","2008-07-02"
"47220","49069","SHORTLISTED","2008-07-15"
"47220","49730","SHORTLISTED","2008-07-09"
